àbac	ábaco
cohobació	
cohomologia	
cohort	
COI	
coincidència	
coincineració	
coinventor	
coiot	
coïssor	
coit	
coix	
coixesa	
coixí	almofada
coixí de seguretat	
coixinet	
col	
cola	
cola de peix	
colador	
colangiopancreatografia	
col de cabdell	
colectomia	
colèdoc	
colegislació	
colegislador	
colemanita	
coleòpter	
còlera	
colèstasi	
colesteatoma	
colesterol	
colibacil·losi	
colibrí	beija flor
còlic	
coliflor	
colina	
colinap	
coliseu	
colissa	
colitis	
coll	pescoço
coll	gola
coll	naipe
colla	
col·laboració	
col·laboracionisme	
col·laboracionista	
col·laborador	
col·lació	
collage	
col·lagen	
col·lapse	
collar	colete
collaret	
collarí	
collar ortopèdic	
coll d'ampolla	
col·le	
col·lecció	coleção
col·leccionable	
col·leccionisme	
col·leccionista	
col·lecta	
col·lectiu	
col·lectivisme	
col·lectivitat	
col·lectivització	
col·lector	
col·lega	
col·legi	
col·legiació	
col·legial	
col·legialitat	
col·legiat	
col·legiata	
col·legi d'advocats	
col·lènquima	
collet	
col·ligació	
col·limació	
col·lineació	
col·liri	
col·lisió	
collita	
colliter	
col llombarda	
col·locació	
col·lodió	
col·loide	
collonada	
col·loqui	
col·loquialisme	
col·lotípia	
col·lusió	
col·lutori	
col·luvió	
colobra	
colofó	
colofònia	
colom	
colomar	
colombià	
colomer	
colomí	
colon	
còlon	cólon
colònia	colónia
colonialisme	
colonialista	
colonització	
colonitzador	
colonoscòpia	
color	
coloració	
colorant	
coloratura	
coloret	
color field painting	
colorímetre	
colorimetria	
colorista	
colorit	
color or	
color pastel	
colós	
colostomia	
colpisme	
colpista	
còlquic	
coltell	
coltran	
columna	
columnata	
columna verebral	
columneta	
columnista	
colza	
colzada	
colze	cotovelo
coma	vírgula
comanda	
comandament	
comandament a distància	
comandància	
comandant	
comandita	
comando	
comanxe	
comarca	
comarcalització	
comare	
comàrqueting	
combat	
combatent	
combativitat	
combinació	
combinat	
combinatòria	
comboi	
combustibilitat	
combustible	
combustió	
comèdia	comédia
comèdia de situació	
comediant	
comediògraf	
començament	começo
comendador	
comensal	
comentador	
comentari	comentário
comentarista	
comerç	comércio
comerç a l'engròs	
comerciabilitat	
comercial	
comercialisme	
comercialitat	
comercialització	
comerciant	
comesa	
cometa	
cometes	
comí	
comiat	
còmic	banda desenhada
comici	
comicitat	
comís	
comissari	
comissaria	
comissariat	
comissió	
comissió d'amortització anticipada	
comissió de cancel·lació anticipada	
comissió d'obertura	
comissura	
comitè	
comitè de direcció	
comitent	
comitiva	
comitologia	
commemoració	
commensurabilitat	
comminació	
commiseració	
commixtió	
commoció	
commutació	
commutador	
commutador d'encesa	
còmoda	
comodalitat	
comodat	
comodí	
comoditat	
comorià	
compacitat	
compactació	
compadiment	
compaginació	
companatge	
company	
company de pis	
companyerisme	
companyia	
companyó	
companyonia	
comparabilitat	
comparació	
comparador	
comparança	
compare	
compareixença	
compareixent	
comparsa	comparsa
compartició	
compartiment	
compartimentació	
compàs	
compassió	compaixão
compaternitat	
compatibilitat	
compatibilització	
compatriota	
compendi	
compenetració	
compensació	
compensador	
competència	
competició	
competidor	
competitivitat	
compilació	
compilador	
complaença	
complement	
complementació	
complementarietat	
completesa	
complex	
complexió	
complexitat	
complex vitamínic	
complicació	
còmplice	
complicitat	
compliment	
complot	
componedor	
component	
componiment	
comporta	
comportament	comportamento
composició	
compositor	compositor
compost	
compostatge	
compota	
compra	
comprador	
compravenda	
comprensibilitat	
comprensió	
compresa	
compressibilitat	
compressió	
compressor	
comprimit	
compromís	
compromissari	
comprovació	
comprovant	
comptabilitat	
comptabilització	
comptable	
comptador	
comptadoria	
comptagotes	
comptaquilòmetres	
comptatge	
compte	
compte bancari	
compte corrent de suport	
comptedant	
compte d'estalvis	
compte domiciliació	
compte en descobert	
compte enrere	
compulsa	
compulsació	
﻿compulsació	
compulsió	
compunció	
còmput	
computabilitat	
computació	
computador	
computadora	
comtat	
comte	conde
comuna	
comunicació	
comunicador	
comunicat	
comunicat d'accident	
comunicat d'actuació	
comunicat d'alta	
comunicat de baixa	
comunicat de guerra	
comunicat de sinistre	
comunicat mèdic	
comunicat urgent	
comunió	
comunisme	
comunista	
comunitarisme	
comunitarització	
comunitat	
con	
conat	
conca	
concatenació	
concausa	
concavitat	
concedent	
concelebració	
concent	
concentració	
concentrador	
concentrat	
concepció	
concepte	
conceptisme	
conceptuació	
conceptualisme	
conceptualista	
conceptualització	
concert	
concertació	
concertant	
concert de cambra	
concertista	
concessió	
concessionari	
concili	
conciliàbul	
conciliació	
concisió	
concitació	
conciutadà	
conclau	
conclave	
conclusió	
concoide	
concomitància	
concordança	
concordat	
concòrdia	
concreció	
concubí	
concubina	
concubinat	
concubinatge	
conculcació	
concunyat	
concurrència	
concurrent	
concurs	
concursant	
concurs oposició	
concussió	
condecoració	
condeixeble	
condemna	
condemnació	
condemnat	
condensabilitat	
condensació	
condensador	
condensat	
condescendència	
condícia	
condició	condição
condicionador	
condicionalitat	
condicionament	
condicionant	
còndil	
condiloma	
condiment	
condimentació	
conditio sine qua non	
condó	
condol	
condolença	
condomini	
condonació	
còndor	
condrita	
condròcit	
conducció	
conducta	
conductància	
conducte	
conductibilitat	
conductímetre	
conductisme	
conductivitat	
conductor	
conegut	
coneixedor	
coneixement	conhecimento
coneixement	conhecimento
coneixença	
conestable	
confabulació	
confecció	
confederació	
confederalisme	
conferència	
conferenciant	
confessant	
confessió	
confessionari	
confessor	
confí	
confiabilitat	
confiança	confiança
confidència	
confidencialitat	
configuració	
configurador	
confinament	
confirmació	
confiscació	
confit	
confiteria	
confitura	
conflagració	
conflicte	conflito
conflictivitat	
confluència	
conformació	
conformisme	
conformista	
conformitat	
confort	
confortació	
confrare	
confraria	confraria
confraternitat	
confraternització	
confrontació	
confucià	
confucianisme	
confusió	
confusionisme	
confutació	
congelació	
congelador	
congelament	
congelat	
congesta	
congestió	
congestió pulmonar	
conglomerat	
congolès	
congost	
congratulació	
congregació	
congreny	
congrés	
congressista	
congret	
còngrua	
congruència	
congruïtat	
conicitat	
conífera	
conill	coelho
conillet	
conillet d'Índies	
conjectura	
conjugació	
cònjuge	
conjunció	
conjunt	conjunto
conjuntivitis	
conjuntura	
conjur	
conjuració	
connectivitat	
connector	
connexió	conexão
connexitat	
connivència	
connotació	
conqueridor	
conquesta	
conquilla	
conquista	
conquistador	
conreador	
conreu	
consagració	
consanguinitat	
consciència	
conscienciació	
conscient	
conscripció	
consecució	
consell	
conseller	
conselleria	
consens	
consentiment	
consentiment exprés	
conseqüència	
conseqüencialisme	
conserge	
consergeria	
conserva	
conservació	
conservacionista	
conservador	
conservadorisme	
conservant	
conservatori	
conserver	
consideració	consideração
considerant	
considerat	
consigna	
consignació	
consignatari	
consistència	
consistori	
consoci	
consol	
cònsol	
consola	
consolació	
consolat	
consolidació	
consonància	
consonant	
consonantisme	
consorci	
consorciat	
consort	
conspiració	
conspiracionista	
conspirador	
constància	
constant	
constatació	
constel·lació	
consternació	
constipat	
constitució	
constitucionalisme	
constitucionalista	
constitucionalitat	
constitucionalització	
constituent	
constrenyiment	
constricció	
construcció	
construcció naval	
constructe	
constructibilitat	
constructivisme	
constructor	
consubstancialitat	
consulat	
consulta	
consultor	
consultori	
consultoria	
consum	consumo
consumació	
consumició	
consumidor	
consumidorisme	
consumisme	
consumista	
consumpció	
contacte	
contactologia	
contactor	
contagi	
contagiositat	
contaminació	
contaminador	
contaminant	
conte	conto
contemplació	
contemporaneïtat	
contemporització	
contenció	
contenciós	
contendent	
contenidor	
contertulià	
contesa	
contestà	
contestació	
contestador	
context	
contextualització	
contigüitat	
continència	
continent	
contingència	
contingent	
contingentació	
contingut	
contingut d'alcohol	
continuació	
continuador	
continuïtat	
contínuum	
contista	
contorn	
contornada	
contorsió	
contorsionisme	
contorsionista	
contra	
contraalmirall	
contraatac	
contrabaix	contrabaixo
contrabalanç	
contraban	
contrabandista	
contracció	
contracepció	
contraceptiu	
contracop	
contracorrent	
contracta	
contractació	
contractador	
contractat	
contracte	
contracte d'alta direcció	
contracte perfet	
contracte porqueria	
contractilitat	
contractista	
contractura	
contracultura	
contrada	
contradeclaració	
contrademanda	
contradenúncia	
contradic	
contradicció	
contraencolada	
contraescarpa	
contraespionatge	
contraexemple	
contrafigura	
contrafoc	
contrafort	
contragalze	
contraindicació	
contrainformació	
contrallum	
contralt	
contramarxa	
contramestre	
contramesura	
contraofensiva	
contraoferta	
contrapart	
contrapartida	
contrapès	
contrapetja	
contraplacat	
contrapoder	
contraportada	
contraposició	
contrapressió	
contraprestació	
contraprogramació	
contraproposta	
contrapunt	
contrareforma	
contrarellotge	
contrarellotgista	
contrarèplica	
contrarevolució	
contrari	
contrarietat	
contrasentit	
contrasenya	
contrast	
contrastació	
contratemps	
contraval·lació	
contravalor	
contravenció	
contraxapat	
contribució	
contribuent	
contribuïdor	
contrició	
contrincant	
control	
controlador	
controvèrsia	
contumàcia	
contundència	
contusió	
conurbació	
convalescència	
convalescent	
convalidació	
convecció	
conveí	
convenciment	
convenció	
convencionalisme	
conveni	
conveniència	
convent	convento
conventualitat	
convergència	
conversa	
conversació	
conversador	
conversió	
conversió en zona de vianants en	
convertibilitat	
convertidor	
convexitat	
convicció	
convidat	
convit	
convivència	
convivent	
convocació	
convocatòria	
convolució	
convulsió	
conxa	
conxorxa	
cony	
conya	
conyac	
conyàs	
cooficialitat	
cookies	
cooperació	
cooperador	
cooperant	
cooperativa	
cooperativisme	
cooperativista	
cooptació	
coordenada	coordenada
coordinació	
coordinador	
cop	
copa	
copagament	
copal	
coparticipació	
copatrocini	
Cope	
copejament	
copèpode	
coper	
copet	
còpia	
còpia de seguretat	
copiador	
copilot	
copiositat	
copista	
copisteria	
copó	
copolímer	
coponent	
coportaveu	
copra	
coprecipitació	
copresidència	
copresident	
copríncep	
coprocessador	
coproducció	
coproductor	
coprofàgia	
copròlit	
coprologia	
copropietari	
copropietat	
copte	
còpula	
copulació	
copyleft	
copyright	
coqueta	
coqueteig	
coqueteria	
coquització	
cor	coração
cor	coro
coral	
corall	
coratge	
corb	corvo
corba	
corbata	
corbata de llacet	
corbatí	
corb de mar	
corbeta	
corbina	
corc	
corcadura	
corcó	
corda	corda
corda	mola
cordada	
cordatge	
cor de cambra	
cordell	
corder	
corder de llet	
cordialitat	
cordill	
cordó	
cordòfon	
cordovès	
coreà	
coreògraf	
coreografia	
corfa	
corfa de llima	
corfa de taronja	
cori	
coriandre	
corimbe	
corindó	
corinti	
corista	
corm	
cormorà	
cornalina	
cornella	
córner	
corneta	
còrnia	
còrnic	córnico
cornisa	cornija
cornisament	
cornuallès	
cornucòpia	
corol·la	
corol·lari	
corologia	
corona	coroa
coronació	
coronament	
coronel	
coroneta	
corporació	
corporalitat	
corporativisme	
corporeïtat	
corpulència	
corpus	
corpuscle	
corral	
corral de prova	
correcció	
correctiu	
corrector	
corredemptor	
corredissa	
corredor	
corredor de tanques	
corredoria	
correferència	
corregència	
corregent	
corregibilitat	
corregidor	
corregiment	
corregulació	
correlació	
correlat	
corrent	
corrent artístic	
corrent d'aire	
corrent portador	
correspondència	
corresponsabilitat	
corresponsal	
corresponsalia	
corretatge	
corretja	
corretjam	
correu	
correu brossa	
corrigenda	
corrigendum	
corriment	
corriol	
corriola	
corró	
corroboració	
corrosió	
corrugació	
corrupció	corrupção
corruptela	
corruptibilitat	
cors	
corser	
cort	
cortesà	
cortesia	
còrtex	
corticoesteroide	
cortina	cortina
cortinatge	
cortineta	
cortisol	
cortisona	
Corts Generals	
Corts Valencianes	
corxera	colcheia
cos	corpo
cosa	
cosa de no res	
coscoll	
coscolla	
coseta	
cosí	primo
cosidor	
cosificació	
cosí germà	coirmão
cosignatari	
cosinus	
cosmètic	
cosmogonia	
cosmògraf	
cosmòleg	
cosmologia	
cosmonauta	
cosmopolita	
cosmopolitisme	
cosmos	
cosmovisió	
cosoneria	
cosquerelles	
cos sense vida	
cossi	
cost	
costa	costa
costa-riqueny	
costat	
costella	costela
costellam	
costera	
costum	
costum de dir mentides	
costumista	
costura	
costurer	
cota	
còtila	
cotilèdon	
cotilla	
cotitular	
cotització	
cotitzador	
cotó	algodão
cotó en floca	
cotó-en-pèl	
cotó fluix	
cotoner	
cotorra	
cotxa cua-roja	
cotxe	carro
cotxer	
cotxera	
cotxet	
COU	
coulomb	
coure	cobre
cova	caverna
covalència	
covard	
covardia	
covariància	
cowboy	
coxal	
CP	
CPU	
crac	
crack	
cranc	carangueijo
cranc de riu	
cranc reial	
crani	
craqueig	
cràter	
crató	
creació	criação
creacionisme	
creacionista	
creador	
creatina	
creatinina	
creativitat	
crebant	
credencial	
credibilitat	
credicotxe	
crèdit	
creditor	
crèdit pont personal	
credo	
credulitat	
creença	crença
creient	
creixement	
creixença	
créixens	
crema	
cremació	
cremada	
cremador	
cremallera	
crematori	
crème de la crème	
cremor	
creosota	
creosotatge	
crep	
crepè	
crepitació	
crepuscle	
crepuscle dels déus	
crescendo	
crescuda	
cresol	
crespell	
crespó	
cresta	
cresta de gall	
crestallera	
creta	
cretaci	
cretí	
cretona	
creu	cruz
creuament	
creuer	cruzeiro
creuera	
creuer de guerra	
creueria	
creueta	
creu i ratlla	
cria	
criador	
criança	
criat	criado
criatura	
cribratge	
cribratge mamogràfic	
cricoide	
crida	
cridadissa	
crida i cerca	
cridòria	
crim	
crimeà	
criminal	
criminalista	
criminalitat	
criminalització	
criminòleg	
criminologia	
crinera	
crins	
crioaglutinina	
criocauterització	
criocirurgia	
crioconservació	
crioextracció	
crioglobulina	
crioll	
crioteràpia	
criotró	
crioturbació	
cripta	cripta
criptó	crípton
criptoanàlisi	
criptòfit	
criptografia	
criptograma	
criptologia	
criptorquídia	
criquet	
crisàlide	crisálida
crisantem	
crisi	
crisolita	
crisòtil	
crispació	
crispeta	
cristalitzador	
cristall	cristal
cristalleria	
cristal·lització	
cristal·lografia	
cristià	
cristiandat	
cristianisme	
cristianització	
cristianodemòcrata	
cristologia	
crit	grito
crit de guerra	
criteri	
crític	
crítica	crítica
criticisme	
criticitat	
cró.	
croada	
croat	
croatobosnià	
crocant	
croissant	
croissanteria	
crol	
crom	cromo
croma	
cromanyó	
cromat	
cromatge	
cromaticitat	
cromàtide	
cromatina	
cromatisme	
cromatògraf	
cromatografia	
cromatograma	
cromita	
cromització	
cromlec	
cromosoma	
crònica	
cronicitat	
cronificació	
cronista	
cronoestratigrafia	
cronògraf	
cronograma	
cronologia	
cronometrador	
cronometratge	
cronòmetre	
cronoteràpia	
croquet	
croqueta	
croquis	
croquisació	
crossa	muleta
crosta	
crostó	
cru	
crucífera	
crucifix	crucifixo
crucifixió	
crueltat	
cruesa	
crugia	
cruïlla	
cruiximent	
crupier	
crustaci	
CSA	
CSC	
CSIC	
CSIF	
cte.	
ctra.	
cu	
cua	cauda
cua d'oreneta	
cub	
cuba	
cubà	
cub de Rubik	
cubell	
cubeta	
cubicació	
cubicatge	
cubiculum	
cubilot	
cubisme	
cubista	
cúbit	
cubooctaedre	
cuc	verme
cuca de llum	
cucanya	
cucat	
cucurutxo	
cucut	
cudol	
cuer	
cuidador	
cuina	
cuina de gas	
cuiner	
cuir	couro
cuirassa	couraça
cuirassament	
cuirassat	
cuixa	
cuixa de corder	
cuixa de xai	
cuixes de granota	
cuixeta	
cul	
culata	
cul-de-llàntia	
cul-de-sac	
culer	
culet	
culinari	
cullera	
cullerada	
cullerada rasa	
cullera de fusta	
cullereta	
cullerot	
culminació	culminação
culot	
culpa	culpa
culpabilitat	
culpabilització	
culte	
culteranisme	
cultisme	
cultiu	
cultivar	
cultura	cultura
culturalisme	
culturisme	
culturista	
culturització	
cumà	
cumquat	cunquate
cúmul	
cuneta	
cunicultura	
cunyat	cunhado
CUP	
cupatge	
cupè	
cupido	
cuplet	
cupó	
cuprita	
cúpula	cúpula
cuquet	
cura	
curació	
curat	
curculiònid	
cúrcuma	
curi	cúrio
cúria	
curie	
curiositat	curiosidade
cúrling	
curri	
curricà	
curriculum	
currículum	
curriculum vitae	
currículum vitae	
curs	
cursa	corrida
cursa contra rellotge	
cursa de fons	
cursa d'obstacles	
curset	
cursetista	
cursiva	
cursor	
curtcircuit	
curtesa	
curtmetratge	
curtosi	
curvatura	
curvímetre	
cuscús	
cúspide	
custodi	
custòdia	
custòdia compartida	
cúter	cúter
cutícula	
cutina	
cutinització	
cutis	
CV	
CVC	
d	
dació	
dacita	
dacri	
dacró	
dacsa	
dàctil	
dactilografia	
dactilograma	
dada	
dadaisme	
dadaista	
dades obertes	
daga	
daguerreotip	
daguerreotípia	
daina	
dalai-lama	
dalek	
dàlia	
dàlit	
dalla	gadanha
d'Almeria	
daltabaix	
daltonisme	
dama	
dama de ferro	
dama d'honor	
damajoana	
damasquinatge	
damnificació	
dandi	
dandisme	
danès	
dansa	
dany	
dard	
dàrsena	
darwinisme	
darwinista	
daspletosaure	
data	
datació	
datador	
datagrama	
data límit	
dàtil	datil
datiu	
dàtum	
dau	dado
daurada	
dauradura	
davantal	avental
davanter	
dc.	
DC	
dealer	
deambulació	
deambulatori	
debacle	
debanament	
debat	debate
debilitació	
debilitament	
debilitat	
dèbit	
debut	
debutant	
decà	
dècada	
decadència	
decadentisme	
decadentista	
decàgon	
decagram	
decaïment	
decalatge	
decàleg	
decalitre	
decàmetre	
decantació	
decantador	
decantament	
decapant	
decapatge	
decapitació	
decàrea	
decasíl·lab	
decatissatge	
decatló	
decència	
deceni	
decenni	
decepció	
decés	
de Ceuta	
decibel	
decídua	
decil	
decilitre	
dècim	
dècima	
decimal	
decimalització	
decímetre	decímetro
decisió	
declamació	
declaració	
declarant	
declinació	
declinador	
declivi	
decocció	
decoloració	
decomís	
deconvocació	
decoració	
decorador	
decorat	
decorativisme	
decorticació	
decreixement	
decret	
decretalista	
decret de Nova Planta	
dècuple	
decúria	
decurió	
decurs	
decurtació	
decussació	
dedicació	
dedicació plena	
dedicatòria	
dedició	
deducció	
defalliment	
defecació	
defecció	
defecte	
defectibilitat	
defensa	defesa
defensiva	
defensor	
defensoria	
deferència	
deficiència	
deficient	
dèficit	
definició	
deflació	
deflagració	
deflector	
defoliació	
defoliant	
deformabilitat	
deformació	
deformitat	
defraudació	
defraudador	
defunció	
degà	
deganat	
degeneració	
deglució	
degolladissa	
degollament	
degollatge	
degotador	
degoteig	
degradabilitat	
degradació	
degradador	
degustació	
de Huelva	
deïficació	
deisme	
deïtat	
deixada	
deixadesa	
deixalla	
deixalleria	
deixant	
deixeble	
deixuplinant	
déjà vu	
dejecció	
de Jerez	
dejuni	jejum
delació	
de la Corunya	
de La Rioja	
delator	
del Carib	
delectació	
delegació	
delegat	
deler	
delfí	
delfinari	
deliberació	
delicadesa	
delícia	
delicte	
de Lima	
delimitació	
delimitador	
delineació	
delineant	
delinqüència	
delinqüent	
deliqüescència	
deliri	delírio
delirium tremens	
delit	
delme	
del nord	
delta	delta
delta	delta
deltoide	
de Lugo	
demà	amanhã
demacració	
demagog	
demagògia	
demanaire	
demanda	
demandant	
demandat	
demanialitat	
de Marbella	
demarcació	
de Melilla	
demència	
dement	
demèrit	
demesia	
demiürg	
democràcia	
demòcrata	
democratacristià	
democratització	
democristià-socialista	
demògraf	
demografia	
demolició	
demonització	
demonologia	
demora	
demostració	
demostratiu	
dendrita	
dendrocronologia	
dendrologia	
dendròmetre	
denegació	
denervació	
dengue	
denigració	
denominació	
denominador	
denotació	
densímetre	
densitat	
dent	
dentada	
dentadura	
dentalització	
dentatge	
dent de lleó	
dentell	
dentició	
denticle	
dentifrici	
dentina	
dentista	
denudació	
denúncia	
denúncia de trànsit	
denunciant	
deontologia	
departament	
depassament	
depauperació	
dependència	
dependent	
depilació	
de Pontevedra	
deportació	
deposició	
depositari	
depravació	
deprecació	
depreciació	
depredació	
depredador	
depressió	
depressiu	
depressor	
dept.	
depuració	
depurador	
depuradora	
de Qatar	
derbi	
derelicte	
dèria	
derisió	
deriva	
derivabilitat	
derivació	
derivada	
derivador	
derivat	
dermatitis	
dermatoesquelet	
dermatòleg	
dermatologia	
dermàtom	
dermatoma	
dermatoscòpia	
dermatosi	
dermis	
dermitis	
derogació	
derrapatge	
derrocament	
derrota	
derrotisme	
derrotista	
des.	
desacatament	
desacceleració	
desacoblament	
desacord	
desactivació	
desadaptació	
desafecció	
desafectació	
desafectat	
desafiament	
desaforament	
desagraïment	
desagregació	
desagrupament	
desaigüe	
desajustament	
desalineació	
desallotjament	
desambiguació	desambiguação
desambiguador	
desamor	
desamortització	
desànim	
de São Paulo	
desaparició	
desaprofitament	
desaprovació	
desarenador	
desarenament	
desarmament	
desarreglament	
desarrelament	
desarticulació	
desassossec	
desastre	
desatenció	
desatracada	
desautorització	
desavantatge	
desavinença	
desballestament	
desbandada	
desbaratador	
desbaratament	
desbastament	
desbloqueig	
desbordament	
desboscament	
desbridament	
desbrossament	
desburocratització	
descalcificació	
descamació	
descampat	
descans	
descapitalització	
descapotable	
descaradura	
descarbonització	
descàrrec	
descàrrega	
descarrilament	
descendència	
descendent	
descens	
descentralització	
descentrament	
desclassificació	
descobert	
descoberta	
descobridor	
descobriment	
descodificació	
descodificador	
descolonització	
descoloració	
descompactació	
descompensació	
descomposició	
descompressió	
descompressor	
descompte	
desconcentració	
desconcert	
desconeixement	
desconfiança	
desconfiguració	
desconformitat	
descongelació	
descongestió	
desconjuntament	
desconnexió	
desconsideració	
desconsol	
desconstrucció	
desconstructivisme	
desconstructivista	
descontaminació	
descontentament	
descontrol	
descoordinació	
descoratjament	
descortesia	
descrèdit	
descripció	
descriptor	
descruatge	
descuit	
desdejuni	
desdeny	
desdibuixament	
desdoblament	
desembalatge	
desembaràs	
desembarcament	
desembargament	
desembocadura	
desembors	
desemborsament	
desembosc	
desembragament	
desembre	dezembro
desembussador	
desemparament	
desempat	
desena	
desencadenament	
desencantament	
desencert	
desencís	
desencontre	
desencriptació	
desenfrenament	
desenganxament	
desengany	
desenllaç	
desenllustrament	
desenrotllament	
desenrunament	
desentumiment	
desenvolupador	
desenvolupament	
desenvolupament sostenible	
desenvolupisme	
desequilibri	
deserció	
desert	deserto
desertificació	
desertització	
desertor	
desescolarització	
desesper	
desesperació	
desestabilització	
desestacionalització	
desestiba	
desestimació	
desestructuració	
deseuropeïtzació	
desexualització	
desfalc	
desfasament	
desfavor	
desfeminització	
desfeta	
desfibril·lació	
desfibril·lador	
desficaci	
desfici	
desfiguració	
desfilada	
desfilada de models	
desfloculant	
desforestació	
desgana	
desgast	
desgavell	
desgebrament	
desgel	
desglaç	
desglaciació	
desglossament	
desgovern	
desgràcia	
desgrat	
desgravació	
desgravament	
desgreixador	
desgreixatge	
desgreuge	
desguàs	
deshabituació	
desheretament	
deshidratació	
deshidratasa	
deshidrogenació	
deshidrogenasa	
deshonestedat	
deshonor	
deshonra	
deshumanització	
deshumidificador	
desiderata	
desideràtum	
desídia	
desig	
designació	
designi	
desigualtat	
desil·lusió	
desimboltura	
desincentiu	
desincronització	
desindustrialització	
desinència	
desinfecció	
desinfectant	
desinformació	
desinhibició	
desinsectació	
desinstal·lació	
desinstitucionalització	
desintegració	
desinterès	
desintoxicació	
desinversió	
desionització	
desistiment	
desitjabilitat	
deslegitimació	
deslleialtat	
deslletament	
deslligament	
deslliurament	
desllorigament	
deslocalització	
desmai	desmaio
desmantellament	
desmarcatge	
desmaterialització	
desmembració	
desmembrament	
desmemòria	
desmentiment	
desmesura	
desmilitarització	
desmillorament	
desminatge	
desmineralització	
desmobilització	
desmodulació	
desmodulador	
desmoralització	
desmotivació	
desmultiplexatge	
desmultiplexor	
desmultiplicació	
desmuntatge	
desnacionalització	
desnaturalització	
desnitrificació	
desnivell	
desnonament	
desnuclearització	
desnudisme	
desnudista	
desnutrició	
desobediència	
desocupació	
desocupat	
desodoració	
desodorant	
desodorant de bola	
desolació	
desorció	
desordre	
desorganització	
desori	
desorientació	
desoxigenació	
desoxirribonucleòtid	
despalatalització	
desparasitació	
despatx	
despedida	
despenalització	
desperfecte	
despersonalització	
despertador	
despesa	gasto
despit	
desplaçament	
desplaçament cap al roig	
desplegable	
desplegament	
despoblació	
despoblament	
despolimerització	
dèspota	
despotisme	
despreniment	
despreocupació	
desprestigi	
desproporció	
desproporcionalitat	
despropòsit	
desprotecció	
desproveïment	
despulla	
despullament	
desquadrament	
desqualificació	
desraó	
desratització	
desreglamentació	
desregulació	
desregularització	
dessalació	
dessaladora	
dessalatge	
dessalinització	
dessalinitzadora	
dessalobradora	
dessaturació	
dessecació	
dessecant	
dessuadora	
destacament	
desterrament	
destí	
destil·lació	
destil·lador	
destil·lat	
destil·leria	
destinació	
destinatari	
destitució	
destral	machado
destralada	
destresa	
destret	
destronament	
destrossa	
destrucció	destruição
destructivitat	
destructor	
desulfuració	
desunió	
desús	
desvaloració	
desvari	
desventura	
desverdiment	
desvergonyiment	
desvetllament	
desviació	
desviacionisme	
desviament	
desvinculació	
desvirtuació	
desxiframent	
detall	
detallista	
detecció	
detectabilitat	
detectiu	detetive
detector	
detenció	
de Tenerife	
deteniment	
detentor	
detergent	
deterioració	
deteriorament	
deterioriació	
determinació	
determinant	
determinisme	
determinista	
detingut	
detonació	
detonador	
detonant	
detracció	
detractor	
detriment	
detritus	
deu	dez
déu	
deure	
deute	dívida
deuteri	
deuteró	
Deuteronomi	
deutor	
devaluació	
devastació	
devesa	
devessall	
de Vitòria	
devoció	
devolució	
devot	
dextrosa	
dg	
dg.	
DGAIA	
DGT	
dia	dia
dia	dia
diabètic	
diabetis	
diable	
diableria	
diàbolo	
diaca	diácono
diacereïna	
diaclasament	
diàclasi	
diaconat	
diacrític	
diacronia	
diada	
diadema	
dia de pagament	
dia de treball	
diafanitat	
diafisial	
diafragma	
diagnosi	
diagnòstic	
diagonal	
diagonalització	
diagrama	diagrama
dial	
dialectalisme	
dialecte	dialeto
dialèctica	
dialectologia	
diàleg	
diàleg a tres	
diàlisi	
dialitzador	
diamagnetisme	
diamant	diamante
diàmetre	diâmetro
diana	
dia natural	
diapasó	
diapositiva	
diari	jornal
diarrea	
diàspora	
diastema	
diàstole	
diatriba	
diazepam	
dibuix	desenho
dibuix animat	
dibuixant	
dic	
dicasteri	
dicció	
diccionari	dicionário
diclorodifluorometà	
diclorometà	
diclorotetrafluoroetà	
dicotiledònia	
dicotomia	
dicroisme	
dicromat	
dictador	
dictadura	
dictàfon	
dictamen	
dictat	
dicteri	
dictiosoma	
dida	
didàctica	
didactisme	
didal	dedal
didalera	
didjeridú	
diedre	
dielèctric	
diencèfal	
dièresi	
dies de data	
dies de vista	
dièsel	
dieta	dieta
dietari	
dietista	
dietoteràpia	
difamació	
difamador	
diferència	diferença
diferenciació	
diferencial	
dificultat	
difidació	
difosfat	
difracció	
diftèria	
diftong	
diftongació	
difuminació	
difunt	
difusió	
difusionisme	
difusor	
digestibilitat	
digestió	
digestor	
dígit	
digitació	
digitalització	
digitalitzador	
digitígrad	
digitopressió	
diglòssia	
dignació	
dignatari	
dignificació	
dignitari	
dignitat	
dígraf	
digressió	
dihidrat	
dijous	quinta-feira
diktat	
dilació	
dilapidació	
dilatabilitat	
dilatació	
dilatometria	
dilema	
diligència	
diligenciament	
dilluns	segunda-feira
dilucidació	
dilució	
diluent	
diluvi	
dimanació	
dimarts	segunda-feira
dimecres	quarta-feira
dimensió	
dimensionalitat	
dimensionament	
dímer	
dimerització	
dimetilformamida	
diminutiu	
dimissió	
dimoni	
dimorfisme	
dinàmica	
dinamicitat	
dinamisme	
dinamita	
dinamització	
dinamo	
dinamòmetre	
dinar	comida
dinar	comer
dinasta	
dinastia	dinastia
diner	
dinerada	
diner comptant	
diner efectiu	
diner negre	
diners	dinheiro
diners al comptat	
diners comptants	
diners en efectiu	
dinosaure	dinossauro
diòcesi	
díode	
diòptria	
